t,x,y,z,dx_dt,dy_dt,dz_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000111e-01
1.000100010001000149e-02,-1.002065564392479874e-02,1.001952092392809357e+00,1.944193118967138534e-03,-1.003896285511776565e+00,1.903697628346370796e-01,1.888986171321368757e-01
2.000200020002000298e-02,-2.007925630728779262e-02,1.003807586622648795e+00,3.780264567037961050e-03,-1.007587851189686745e+00,1.806822610172419685e-01,1.783765870667327058e-01
3.000300030003000273e-02,-3.017376878857947614e-02,1.005565916336676136e+00,5.513894110301345401e-03,-1.011079810446977589e+00,1.709394144787557690e-01,1.684044286052733819e-01
4.000400040004000596e-02,-4.030222620476654749e-02,1.007226538805382043e+00,7.150426287658323901e-03,-1.014376965093040317e+00,1.611430815563098529e-01,1.589543920626418361e-01
5.000500050005000918e-02,-5.046270299597944292e-02,1.008788928132741125e+00,8.694951346524142088e-03,-1.017483879479265330e+00,1.512950826305687890e-01,1.500000065774482749e-01
6.000600060006000547e-02,-6.065331829713990763e-02,1.010252576481812437e+00,1.015229996652231535e-02,-1.020404876448334663e+00,1.413971969992225963e-01,1.415161195095052948e-01
7.000700070007001563e-02,-7.087223457086699874e-02,1.011616994118443413e+00,1.152705034660181545e-02,-1.023144044465045255e+00,1.314511642528216895e-01,1.334788652082951055e-01
8.000800080008001192e-02,-8.111765230699392870e-02,1.012881707843920287e+00,1.282355821963030058e-02,-1.025705266063550614e+00,1.214586892617901398e-01,1.258655012111088434e-01
9.000900090009000820e-02,-9.138781039339427537e-02,1.014046261564069962e+00,1.404595406504179252e-02,-1.028092215629111683e+00,1.114214419194197170e-01,1.186544328423714267e-01
1.000100010001000184e-01,-1.016809833296930254e-01,1.015110215697212048e+00,1.519815866697716081e-02,-1.030308374364189206e+00,1.013410598097493898e-01,1.118251318801712496e-01
1.100110011001100146e-01,-1.119954782934188542e-01,1.016073146684895789e+00,1.628389938164823136e-02,-1.032357046066544104e+00,9.121915104356032034e-02,1.053580504248754907e-01
1.200120012001200109e-01,-1.223296365737373409e-01,1.016934647228728616e+00,1.730670216163091718e-02,-1.034241349390359499e+00,8.105729287200839905e-02,9.923467509298154743e-02
1.300130013001300211e-01,-1.326818313403003158e-01,1.017694325916322917e+00,1.826990386735407798e-02,-1.035964229783677082e+00,7.085703384296426766e-02,9.343746365254998465e-02
1.400140014001400313e-01,-1.430504641136103594e-01,1.018351806643882362e+00,1.917667219621815855e-02,-1.037528478840100465e+00,6.061989721516611307e-02,8.794973662373292700e-02
1.500150015001500137e-01,-1.534339615796900813e-01,1.018906728096379499e+00,2.003002371529846032e-02,-1.038936751811677883e+00,5.034738403958582964e-02,8.275557893362539552e-02
1.600160016001600238e-01,-1.638307747649085377e-01,1.019358743585563554e+00,2.083282765793119384e-02,-1.040191571243494817e+00,4.004097395220418409e-02,7.783982405404953064e-02
1.700170017001700340e-01,-1.742393764203194473e-01,1.019707520625250385e+00,2.158782077879667013e-02,-1.041295341404047115e+00,2.970212770473062980e-02,7.318797313008781891e-02
1.800180018001800164e-01,-1.846582697160432107e-01,1.019952742436924131e+00,2.229756040450105170e-02,-1.042250302841425169e+00,1.933227877134163775e-02,6.878647677115989900e-02
